topic,destination,accessibility_topic,travel_topic,occurrences,unique_sources,editorial_frequency,search_demand,conversion_relevance
UK + wheelchair + hotels,UK,wheelchair,hotels,8,1,8,,VERY_HIGH
UK + wheelchair + holidays,UK,wheelchair,holidays,5,1,5,,VERY_HIGH
UK + wheelchair + excursions,UK,wheelchair,excursions,4,1,4,,VERY_HIGH
UK + wheelchair + travel tips,UK,wheelchair,travel tips,4,1,4,,VERY_HIGH
Germany + roll-in shower + hotels,Germany,roll-in shower,hotels,3,1,3,,VERY_HIGH
Germany + roll-in shower + excursions,Germany,roll-in shower,excursions,3,1,3,,VERY_HIGH
Germany + roll-in shower + travel tips,Germany,roll-in shower,travel tips,3,1,3,,VERY_HIGH
Germany + wheelchair + hotels,Germany,wheelchair,hotels,3,1,3,,VERY_HIGH
Germany + wheelchair + excursions,Germany,wheelchair,excursions,3,1,3,,VERY_HIGH
Germany + wheelchair + travel tips,Germany,wheelchair,travel tips,3,1,3,,VERY_HIGH
UK + roll-in shower + hotels,UK,roll-in shower,hotels,3,1,3,,VERY_HIGH
UK + roll-in shower + excursions,UK,roll-in shower,excursions,3,1,3,,VERY_HIGH
UK + roll-in shower + travel tips,UK,roll-in shower,travel tips,3,1,3,,VERY_HIGH
wheelchair,,wheelchair,,2,1,2,,LOW
wheelchair + hotels,,wheelchair,hotels,1,1,1,,LOW
India + wheelchair + hotels,India,wheelchair,hotels,1,1,1,,VERY_HIGH
India + wheelchair + travel tips,India,wheelchair,travel tips,1,1,1,,VERY_HIGH
Netherlands + wheelchair + cruises,Netherlands,wheelchair,cruises,1,1,1,,VERY_HIGH
Netherlands + wheelchair + excursions,Netherlands,wheelchair,excursions,1,1,1,,VERY_HIGH
Netherlands + wheelchair + holidays,Netherlands,wheelchair,holidays,1,1,1,,VERY_HIGH
UK + wheelchair + cruises,UK,wheelchair,cruises,1,1,1,,VERY_HIGH
reduced mobility + flights,,reduced mobility,flights,1,1,1,,HIGH
hoist + hotels,,hoist,hotels,1,1,1,,LOW
